type,name,notice,furigana
Central《島田中心エリア》,&mm SOUVENIR STORE,"古着のリメイク、一点物のアンティークビーズアクセサリー、ベルギーのリネンの服など「ここにしかないもの」を集めてあります。"<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
Central《島田中心エリア》,インテリアショップFORMS,素材を活かしたこだわりの家具と雑貨を取り揃えています<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,い
Central《島田中心エリア》,エランビタル,カジュアルをベースに大人モードなエッセンスをプラス!セレクトショップです<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,え
Central《島田中心エリア》,お花屋 TONTTU,花・プリザードフラワー等取り揃えています。ギフトお任せください！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
Central《島田中心エリア》,Cafe Zeal,人気の煮込みハンバーグや日替わりパスタ、インドネシア風チャーハンのナシゴレンなどはお店の手作り料理です。数種類のケーキもcafe Zealオリジナルです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
Central《島田中心エリア》,割烹 磯藤,居酒屋料理から本格割烹まで幅広く安く<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
Central《島田中心エリア》,かざりや平林,ジュエリーの修理・加工・リフォーム・小売りの専門店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
Central《島田中心エリア》,海産物処ふじ田,手火山式のかつお節取扱店。こだわりの乾物専門店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
Central《島田中心エリア》,桑原精肉店,創業明治22年から、『宮小路 くわばら牛や』として、長きに渡って秘伝の製法を守り続け、おいしいお肉、おいしい焼豚を提供させていただくことで、地元である静岡県の多くの方々に支えられ、親しまれてきました。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
Central《島田中心エリア》,ku-pan,本格パンからマシュマロを使ったオリジナルパンまで<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
Central《島田中心エリア》,ごはん cafe美・菜・健 かりん,野菜料理中心のランチのお店。体に優しいでのんびりおくつろぎを<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,こ
Central《島田中心エリア》,Zeal,古着、雑貨、レディース、メンズ、アクセサリーのセレクトショップです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
Central《島田中心エリア》,シマダリフォーム,創業30年、母子二代でお客様の思いを大切に一針入魂直します。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
Central《島田中心エリア》,寝装寝具みやち,お布団のことからスノコベット、枕のことまで何でも相談ください。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
Central《島田中心エリア》,Zeal,古着、雑貨、レディース、メンズ、アクセサリーのセレクトショップです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
Central《島田中心エリア》,西東石油 島田本通SS,車販、車検、カー用品、車のことなら何でもご相談ください<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,せ
Central《島田中心エリア》,din/g.place,"グリーンとナチュラル雑貨のショップ「Plus Style Garden teimu」の姉妹店です。緑に囲まれた中で、ゆったりとお食事やティータイムを楽しめます。"<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,た
Central《島田中心エリア》,時計屋さん☆むらまつ,ロレックス販売・修理・買取・中古時計も販売<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
Central《島田中心エリア》,なるおかサイクル,ロードバイクやマウンテンバイクなどスポーツ系に強い店です<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,な
Central《島田中心エリア》,パームスクラブ,人気のＨＲＭなどメンズ、レディースを取り扱うお店。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
Central《島田中心エリア》,ビューティスタジオ ノエ,アロマの香りに癒されながら、ゆったりとマッサージを受けて頂けるフェイシァサロンです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ひ
Central《島田中心エリア》,ふじ膳,大衆料理、おふくろの味です。明るくアットホームなお店です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
Central《島田中心エリア》,文具・事務機のオカダ,事務用品・文具・オフィス家具を始め、ＯＡ周辺用品・印刷・各種法令用紙類等、皆様のご要望に沿えるよう取り揃えています。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
Central《島田中心エリア》,ポプリ,県内唯一、トアルコトラジャマイスター認定店！イラスト似顔絵ケーキ！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ほ
Central《島田中心エリア》,麺 大鷹,あっさりスープにカツオの風味でまた食べたくなる一杯！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,め
Central《島田中心エリア》,野菜とパウンドケーキの店 エポウ,全12種類のパウンドケーキの専門店です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,や
Central《島田中心エリア》,吉村鯛焼屋,本物の鯛焼きをぜひ一度！！<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,よ
Central《島田中心エリア》,龍月堂,創業100年以上の伝統を守りつつ、新たな菓子作りをしている和洋菓子店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,り
Central《島田中心エリア》,ローズショップ,ばらの丘公園のショップより西隣に新築移転オープン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ろ
East《六合エリア》,味わい処 座楽,老若男女問わず食を楽しめるお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
East《六合エリア》,魚一,創業明治元年の日本料理店です<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,う
East《六合エリア》,ケーキ工房リモージュ,季節のケーキと本物そっくり面白ケーキ<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,け
East《六合エリア》,シバモクショップ,かわいい木製雑貨がいっぱい 大人気の動物スプーン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
East《六合エリア》,とりっこ倶楽部ホシノ,珍しい卵と一黒シャモの肉、手づくりプリン。健康補助食品も<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
East《六合エリア》,Plus Style Garden Teimu,緑に囲まれた暮らしの提案。洋服、雑貨、花、庭づくりまで暮らしに彩りを。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
North《川根エリア》,朝日園 駅前本店,大井川鉄道家山駅前。茶の香ただよう店内で新茶を楽しめます。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
North《川根エリア》,お食事処たばこ屋,テーブルとお座席があり、様々な用途でご利用頂けます<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
North《川根エリア》,加藤菓子舗,川根大福、川根抹茶プリンなど川根茶を使ったお菓子を販売しています<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
North《川根エリア》,"茶房""遊""",川根茶問屋朝日園超区営ショップ 茶カフェ、ギャラリーショップなど<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,さ
North《川根エリア》,マルイエ醤油川根本家,創業明治43年 昔ながらの製法で味噌醤油を製造販売<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ま
South《初倉エリア》,お茶のさすき園,自社生産のお茶はもちろん、お茶をつかったスイーツを販売。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
South《初倉エリア》,クルマ買取・輸出カースタ/田中石油,どんなクルマでも最低2万円以上で買取ります。(軽は5千円から)<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
South《初倉エリア》,パティスリー アルペンローゼ,フルーツたっぷりのおいしいケーキと焼菓子のかわいいラッピングがいっぱい<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
West《金谷エリア》,写真工房モリサワ,証明写真、家族写真、出張撮影など写真の事なら何でも<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
West《金谷エリア》,This is Cafe 新金谷駅店,SLの見える駅でおいしいラテをどうぞ<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,て
West《金谷エリア》,とろろ屋ととろ,地元の食材を使ったとろろ料理 創作料理のお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
West《金谷エリア》,中屋酒店,田舎の昔ながらの小さな酒屋です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,な
West《金谷エリア》,花と香りの店 カモマイル,島田市の金谷栄町で経営しているお花屋さん。店舗名の『カモマイル』はハーブのカモマイルからとったものです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
